business_id,business_type,date,source_category,activity,amount,unit,emission_factor,emissions_kgCO2e,scope
B0003,Bakery,2024-02,electricity,electricity_consumption,1324.0,kWh,0.508,672.592,Scope 2
B0003,Bakery,2024-02,electricity,electricity_consumption,387.0,kWh,0.75,290.25,Scope 2
B0003,Bakery,2024-03,electricity,electricity_consumption,1958.0,kWh,0.508,994.664,Scope 2
B0003,Bakery,2024-03,electricity,electricity_consumption,303.0,kWh,0.75,227.25,Scope 2
B0003,Bakery,2024-04,electricity,electricity_consumption,2247.0,kWh,0.508,1141.476,Scope 2
B0003,Bakery,2024-04,electricity,electricity_consumption,658.0,kWh,0.75,493.5,Scope 2
B0003,Bakery,2024-05,electricity,electricity_consumption,1612.0,kWh,0.508,818.896,Scope 2
B0003,Bakery,2024-05,electricity,electricity_consumption,441.0,kWh,0.75,330.75,Scope 2
B0003,Bakery,2024-06,electricity,electricity_consumption,1238.0,kWh,0.508,628.904,Scope 2
B0003,Bakery,2024-06,electricity,electricity_consumption,129.0,kWh,0.75,96.75,Scope 2
B0003,Bakery,2024-07,electricity,electricity_consumption,2436.0,kWh,0.508,1237.488,Scope 2
B0003,Bakery,2024-07,electricity,electricity_consumption,702.0,kWh,0.75,526.5,Scope 2
B0003,Bakery,2024-08,electricity,electricity_consumption,1349.0,kWh,0.508,685.292,Scope 2
B0003,Bakery,2024-08,electricity,electricity_consumption,164.0,kWh,0.75,123.0,Scope 2
B0003,Bakery,2024-09,electricity,electricity_consumption,2315.0,kWh,0.508,1176.02,Scope 2
B0003,Bakery,2024-09,electricity,electricity_consumption,819.0,kWh,0.75,614.25,Scope 2
B0003,Bakery,2024-10,electricity,electricity_consumption,2314.0,kWh,0.508,1175.512,Scope 2
B0003,Bakery,2024-10,electricity,electricity_consumption,524.0,kWh,0.75,393.0,Scope 2
B0003,Bakery,2024-11,electricity,electricity_consumption,1348.0,kWh,0.508,684.784,Scope 2
B0003,Bakery,2024-11,electricity,electricity_consumption,383.0,kWh,0.75,287.25,Scope 2
B0003,Bakery,2024-12,electricity,electricity_consumption,1803.0,kWh,0.508,915.924,Scope 2
B0003,Bakery,2024-12,electricity,electricity_consumption,352.0,kWh,0.75,264.0,Scope 2
B0004,Bakery,2024-01,electricity,electricity_consumption,1241.0,kWh,0.508,630.428,Scope 2
B0004,Bakery,2024-01,electricity,electricity_consumption,405.0,kWh,0.75,303.75,Scope 2
B0004,Bakery,2024-02,electricity,electricity_consumption,2398.0,kWh,0.508,1218.184,Scope 2
B0004,Bakery,2024-02,electricity,electricity_consumption,948.0,kWh,0.75,711.0,Scope 2
B0004,Bakery,2024-03,electricity,electricity_consumption,2421.0,kWh,0.508,1229.868,Scope 2
B0004,Bakery,2024-03,electricity,electricity_consumption,940.0,kWh,0.75,705.0,Scope 2
B0004,Bakery,2024-04,electricity,electricity_consumption,2214.0,kWh,0.508,1124.712,Scope 2
B0004,Bakery,2024-04,electricity,electricity_consumption,668.0,kWh,0.75,501.0,Scope 2
B0004,Bakery,2024-05,electricity,electricity_consumption,1451.0,kWh,0.508,737.1080000000001,Scope 2
B0004,Bakery,2024-05,electricity,electricity_consumption,291.0,kWh,0.75,218.25,Scope 2
B0004,Bakery,2024-06,electricity,electricity_consumption,1605.0,kWh,0.508,815.34,Scope 2
B0004,Bakery,2024-06,electricity,electricity_consumption,174.0,kWh,0.75,130.5,Scope 2
B0004,Bakery,2024-07,electricity,electricity_consumption,2251.0,kWh,0.508,1143.508,Scope 2
B0004,Bakery,2024-07,electricity,electricity_consumption,512.0,kWh,0.75,384.0,Scope 2
B0004,Bakery,2024-08,electricity,electricity_consumption,2079.0,kWh,0.508,1056.132,Scope 2
B0004,Bakery,2024-08,electricity,electricity_consumption,430.0,kWh,0.75,322.5,Scope 2
B0004,Bakery,2024-09,electricity,electricity_consumption,2154.0,kWh,0.508,1094.232,Scope 2
B0004,Bakery,2024-09,electricity,electricity_consumption,490.0,kWh,0.75,367.5,Scope 2
B0004,Bakery,2024-10,electricity,electricity_consumption,1843.0,kWh,0.508,936.244,Scope 2
B0004,Bakery,2024-10,electricity,electricity_consumption,479.0,kWh,0.75,359.25,Scope 2
B0004,Bakery,2024-11,electricity,electricity_consumption,2049.0,kWh,0.508,1040.892,Scope 2
B0004,Bakery,2024-11,electricity,electricity_consumption,342.0,kWh,0.75,256.5,Scope 2
B0004,Bakery,2024-12,electricity,electricity_consumption,1868.0,kWh,0.508,948.944,Scope 2
B0004,Bakery,2024-12,electricity,electricity_consumption,695.0,kWh,0.75,521.25,Scope 2
B0005,Bakery,2024-01,electricity,electricity_consumption,2264.0,kWh,0.508,1150.112,Scope 2
B0005,Bakery,2024-01,electricity,electricity_consumption,379.0,kWh,0.75,284.25,Scope 2
B0005,Bakery,2024-02,electricity,electricity_consumption,1645.0,kWh,0.508,835.66,Scope 2
B0005,Bakery,2024-02,electricity,electricity_consumption,314.0,kWh,0.75,235.5,Scope 2
B0005,Bakery,2024-03,electricity,electricity_consumption,2070.0,kWh,0.508,1051.56,Scope 2
B0005,Bakery,2024-03,electricity,electricity_consumption,813.0,kWh,0.75,609.75,Scope 2
B0005,Bakery,2024-04,electricity,electricity_consumption,1576.0,kWh,0.508,800.6080000000001,Scope 2
B0005,Bakery,2024-04,electricity,electricity_consumption,526.0,kWh,0.75,394.5,Scope 2
B0005,Bakery,2024-05,electricity,electricity_consumption,1275.0,kWh,0.508,647.7,Scope 2
B0005,Bakery,2024-05,electricity,electricity_consumption,361.0,kWh,0.75,270.75,Scope 2
B0005,Bakery,2024-06,electricity,electricity_consumption,2293.0,kWh,0.508,1164.844,Scope 2
B0005,Bakery,2024-06,electricity,electricity_consumption,353.0,kWh,0.75,264.75,Scope 2
B0005,Bakery,2024-07,electricity,electricity_consumption,2498.0,kWh,0.508,1268.984,Scope 2
B0005,Bakery,2024-07,electricity,electricity_consumption,664.0,kWh,0.75,498.0,Scope 2
B0005,Bakery,2024-08,electricity,electricity_consumption,1648.0,kWh,0.508,837.184,Scope 2
B0005,Bakery,2024-08,electricity,electricity_consumption,249.0,kWh,0.75,186.75,Scope 2
B0005,Bakery,2024-09,electricity,electricity_consumption,2046.0,kWh,0.508,1039.368,Scope 2
B0005,Bakery,2024-09,electricity,electricity_consumption,647.0,kWh,0.75,485.25,Scope 2
B0005,Bakery,2024-10,electricity,electricity_consumption,1819.0,kWh,0.508,924.052,Scope 2
B0005,Bakery,2024-10,electricity,electricity_consumption,651.0,kWh,0.75,488.25,Scope 2
B0005,Bakery,2024-11,electricity,electricity_consumption,2348.0,kWh,0.508,1192.784,Scope 2
B0005,Bakery,2024-11,electricity,electricity_consumption,510.0,kWh,0.75,382.5,Scope 2
B0005,Bakery,2024-12,electricity,electricity_consumption,2317.0,kWh,0.508,1177.036,Scope 2
B0005,Bakery,2024-12,electricity,electricity_consumption,254.0,kWh,0.75,190.5,Scope 2
B0006,Bakery,2024-01,electricity,electricity_consumption,1393.0,kWh,0.508,707.644,Scope 2
B0006,Bakery,2024-01,electricity,electricity_consumption,364.0,kWh,0.75,273.0,Scope 2
B0006,Bakery,2024-02,electricity,electricity_consumption,1721.0,kWh,0.508,874.268,Scope 2
B0006,Bakery,2024-02,electricity,electricity_consumption,444.0,kWh,0.75,333.0,Scope 2
B0006,Bakery,2024-03,electricity,electricity_consumption,2318.0,kWh,0.508,1177.544,Scope 2
B0006,Bakery,2024-03,electricity,electricity_consumption,385.0,kWh,0.75,288.75,Scope 2
B0006,Bakery,2024-04,electricity,electricity_consumption,2333.0,kWh,0.508,1185.164,Scope 2
B0006,Bakery,2024-04,electricity,electricity_consumption,817.0,kWh,0.75,612.75,Scope 2
B0006,Bakery,2024-05,electricity,electricity_consumption,1845.0,kWh,0.508,937.26,Scope 2
B0006,Bakery,2024-05,electricity,electricity_consumption,425.0,kWh,0.75,318.75,Scope 2
B0006,Bakery,2024-06,electricity,electricity_consumption,2092.0,kWh,0.508,1062.736,Scope 2
B0006,Bakery,2024-06,electricity,electricity_consumption,395.0,kWh,0.75,296.25,Scope 2
B0006,Bakery,2024-07,electricity,electricity_consumption,2469.0,kWh,0.508,1254.252,Scope 2
B0006,Bakery,2024-07,electricity,electricity_consumption,341.0,kWh,0.75,255.75,Scope 2
B0006,Bakery,2024-08,electricity,electricity_consumption,1882.0,kWh,0.508,956.056,Scope 2
B0006,Bakery,2024-08,electricity,electricity_consumption,213.0,kWh,0.75,159.75,Scope 2
B0006,Bakery,2024-09,electricity,electricity_consumption,1739.0,kWh,0.508,883.412,Scope 2
B0006,Bakery,2024-09,electricity,electricity_consumption,440.0,kWh,0.75,330.0,Scope 2
B0006,Bakery,2024-10,electricity,electricity_consumption,1334.0,kWh,0.508,677.672,Scope 2
B0006,Bakery,2024-10,electricity,electricity_consumption,316.0,kWh,0.75,237.0,Scope 2
B0006,Bakery,2024-11,electricity,electricity_consumption,1943.0,kWh,0.508,987.044,Scope 2
B0006,Bakery,2024-11,electricity,electricity_consumption,539.0,kWh,0.75,404.25,Scope 2
B0006,Bakery,2024-12,electricity,electricity_consumption,1869.0,kWh,0.508,949.452,Scope 2
B0006,Bakery,2024-12,electricity,electricity_consumption,393.0,kWh,0.75,294.75,Scope 2
B0007,Bakery,2024-01,electricity,electricity_consumption,2044.0,kWh,0.508,1038.352,Scope 2
B0007,Bakery,2024-01,electricity,electricity_consumption,700.0,kWh,0.75,525.0,Scope 2
B0007,Bakery,2024-02,electricity,electricity_consumption,1517.0,kWh,0.508,770.636,Scope 2
B0007,Bakery,2024-02,electricity,electricity_consumption,538.0,kWh,0.75,403.5,Scope 2
B0007,Bakery,2024-03,electricity,electricity_consumption,2199.0,kWh,0.508,1117.092,Scope 2
B0007,Bakery,2024-03,electricity,electricity_consumption,348.0,kWh,0.75,261.0,Scope 2
B0007,Bakery,2024-04,electricity,electricity_consumption,1406.0,kWh,0.508,714.248,Scope 2
B0007,Bakery,2024-04,electricity,electricity_consumption,208.0,kWh,0.75,156.0,Scope 2
B0007,Bakery,2024-05,electricity,electricity_consumption,2230.0,kWh,0.508,1132.84,Scope 2
B0007,Bakery,2024-05,electricity,electricity_consumption,796.0,kWh,0.75,597.0,Scope 2
B0007,Bakery,2024-06,electricity,electricity_consumption,1707.0,kWh,0.508,867.1560000000001,Scope 2
B0007,Bakery,2024-06,electricity,electricity_consumption,203.0,kWh,0.75,152.25,Scope 2
B0007,Bakery,2024-07,electricity,electricity_consumption,1534.0,kWh,0.508,779.272,Scope 2
B0007,Bakery,2024-07,electricity,electricity_consumption,418.0,kWh,0.75,313.5,Scope 2
B0007,Bakery,2024-08,electricity,electricity_consumption,1887.0,kWh,0.508,958.596,Scope 2
B0007,Bakery,2024-08,electricity,electricity_consumption,650.0,kWh,0.75,487.5,Scope 2
B0007,Bakery,2024-09,electricity,electricity_consumption,1302.0,kWh,0.508,661.416,Scope 2
B0007,Bakery,2024-09,electricity,electricity_consumption,512.0,kWh,0.75,384.0,Scope 2
B0007,Bakery,2024-10,electricity,electricity_consumption,1317.0,kWh,0.508,669.0360000000001,Scope 2
B0007,Bakery,2024-10,electricity,electricity_consumption,197.0,kWh,0.75,147.75,Scope 2
B0007,Bakery,2024-11,electricity,electricity_consumption,1665.0,kWh,0.508,845.82,Scope 2
B0007,Bakery,2024-11,electricity,electricity_consumption,166.0,kWh,0.75,124.5,Scope 2
B0007,Bakery,2024-12,electricity,electricity_consumption,1842.0,kWh,0.508,935.736,Scope 2
B0007,Bakery,2024-12,electricity,electricity_consumption,478.0,kWh,0.75,358.5,Scope 2
B0008,Bakery,2024-01,electricity,electricity_consumption,2159.0,kWh,0.508,1096.772,Scope 2
B0008,Bakery,2024-01,electricity,electricity_consumption,344.0,kWh,0.75,258.0,Scope 2
B0008,Bakery,2024-02,electricity,electricity_consumption,2167.0,kWh,0.508,1100.836,Scope 2
B0008,Bakery,2024-02,electricity,electricity_consumption,325.0,kWh,0.75,243.75,Scope 2
B0008,Bakery,2024-03,electricity,electricity_consumption,2418.0,kWh,0.508,1228.344,Scope 2
B0008,Bakery,2024-03,electricity,electricity_consumption,862.0,kWh,0.75,646.5,Scope 2
B0008,Bakery,2024-04,electricity,electricity_consumption,1830.0,kWh,0.508,929.64,Scope 2
B0008,Bakery,2024-04,electricity,electricity_consumption,526.0,kWh,0.75,394.5,Scope 2
B0008,Bakery,2024-05,electricity,electricity_consumption,1451.0,kWh,0.508,737.1080000000001,Scope 2
B0008,Bakery,2024-05,electricity,electricity_consumption,483.0,kWh,0.75,362.25,Scope 2
B0008,Bakery,2024-06,electricity,electricity_consumption,2396.0,kWh,0.508,1217.168,Scope 2
B0008,Bakery,2024-06,electricity,electricity_consumption,660.0,kWh,0.75,495.0,Scope 2
B0008,Bakery,2024-07,electricity,electricity_consumption,2205.0,kWh,0.508,1120.14,Scope 2
B0008,Bakery,2024-07,electricity,electricity_consumption,733.0,kWh,0.75,549.75,Scope 2
B0008,Bakery,2024-08,electricity,electricity_consumption,2401.0,kWh,0.508,1219.708,Scope 2
B0008,Bakery,2024-08,electricity,electricity_consumption,582.0,kWh,0.75,436.5,Scope 2
B0008,Bakery,2024-09,electricity,electricity_consumption,2202.0,kWh,0.508,1118.616,Scope 2
B0008,Bakery,2024-09,electricity,electricity_consumption,753.0,kWh,0.75,564.75,Scope 2
B0008,Bakery,2024-10,electricity,electricity_consumption,1615.0,kWh,0.508,820.42,Scope 2
B0008,Bakery,2024-10,electricity,electricity_consumption,320.0,kWh,0.75,240.0,Scope 2
B0008,Bakery,2024-11,electricity,electricity_consumption,2425.0,kWh,0.508,1231.9,Scope 2
B0008,Bakery,2024-11,electricity,electricity_consumption,807.0,kWh,0.75,605.25,Scope 2
B0008,Bakery,2024-12,electricity,electricity_consumption,2111.0,kWh,0.508,1072.388,Scope 2
B0008,Bakery,2024-12,electricity,electricity_consumption,663.0,kWh,0.75,497.25,Scope 2
B0009,Bakery,2024-01,electricity,electricity_consumption,1829.0,kWh,0.508,929.132,Scope 2
B0009,Bakery,2024-01,electricity,electricity_consumption,557.0,kWh,0.75,417.75,Scope 2
B0009,Bakery,2024-02,electricity,electricity_consumption,1473.0,kWh,0.508,748.284,Scope 2
B0009,Bakery,2024-02,electricity,electricity_consumption,318.0,kWh,0.75,238.5,Scope 2
B0009,Bakery,2024-03,electricity,electricity_consumption,1502.0,kWh,0.508,763.016,Scope 2
B0009,Bakery,2024-03,electricity,electricity_consumption,512.0,kWh,0.75,384.0,Scope 2
B0009,Bakery,2024-04,electricity,electricity_consumption,1539.0,kWh,0.508,781.812,Scope 2
B0009,Bakery,2024-04,electricity,electricity_consumption,569.0,kWh,0.75,426.75,Scope 2
B0009,Bakery,2024-05,electricity,electricity_consumption,2156.0,kWh,0.508,1095.248,Scope 2
B0009,Bakery,2024-05,electricity,electricity_consumption,800.0,kWh,0.75,600.0,Scope 2
B0009,Bakery,2024-06,electricity,electricity_consumption,1214.0,kWh,0.508,616.712,Scope 2
B0009,Bakery,2024-06,electricity,electricity_consumption,124.0,kWh,0.75,93.0,Scope 2
B0009,Bakery,2024-07,electricity,electricity_consumption,1547.0,kWh,0.508,785.876,Scope 2
B0009,Bakery,2024-07,electricity,electricity_consumption,255.0,kWh,0.75,191.25,Scope 2
B0009,Bakery,2024-08,electricity,electricity_consumption,1937.0,kWh,0.508,983.996,Scope 2
B0009,Bakery,2024-08,electricity,electricity_consumption,585.0,kWh,0.75,438.75,Scope 2
B0009,Bakery,2024-09,electricity,electricity_consumption,1358.0,kWh,0.508,689.864,Scope 2
B0009,Bakery,2024-09,electricity,electricity_consumption,143.0,kWh,0.75,107.25,Scope 2
B0009,Bakery,2024-10,electricity,electricity_consumption,1485.0,kWh,0.508,754.38,Scope 2
B0009,Bakery,2024-10,electricity,electricity_consumption,247.0,kWh,0.75,185.25,Scope 2
B0009,Bakery,2024-11,electricity,electricity_consumption,2348.0,kWh,0.508,1192.784,Scope 2
B0009,Bakery,2024-11,electricity,electricity_consumption,364.0,kWh,0.75,273.0,Scope 2
B0009,Bakery,2024-12,electricity,electricity_consumption,2113.0,kWh,0.508,1073.404,Scope 2
B0009,Bakery,2024-12,electricity,electricity_consumption,760.0,kWh,0.75,570.0,Scope 2
B0010,Bakery,2024-01,electricity,electricity_consumption,2136.0,kWh,0.508,1085.088,Scope 2
B0010,Bakery,2024-01,electricity,electricity_consumption,592.0,kWh,0.75,444.0,Scope 2
B0010,Bakery,2024-02,electricity,electricity_consumption,1405.0,kWh,0.508,713.74,Scope 2
B0010,Bakery,2024-02,electricity,electricity_consumption,142.0,kWh,0.75,106.5,Scope 2
B0010,Bakery,2024-03,electricity,electricity_consumption,2297.0,kWh,0.508,1166.876,Scope 2
B0010,Bakery,2024-03,electricity,electricity_consumption,708.0,kWh,0.75,531.0,Scope 2
B0010,Bakery,2024-04,electricity,electricity_consumption,2104.0,kWh,0.508,1068.832,Scope 2
B0010,Bakery,2024-04,electricity,electricity_consumption,334.0,kWh,0.75,250.5,Scope 2
B0010,Bakery,2024-05,electricity,electricity_consumption,2198.0,kWh,0.508,1116.584,Scope 2
B0010,Bakery,2024-05,electricity,electricity_consumption,797.0,kWh,0.75,597.75,Scope 2
B0010,Bakery,2024-06,electricity,electricity_consumption,1738.0,kWh,0.508,882.904,Scope 2
B0010,Bakery,2024-06,electricity,electricity_consumption,321.0,kWh,0.75,240.75,Scope 2
B0010,Bakery,2024-07,electricity,electricity_consumption,1896.0,kWh,0.508,963.168,Scope 2
B0010,Bakery,2024-07,electricity,electricity_consumption,507.0,kWh,0.75,380.25,Scope 2
B0010,Bakery,2024-08,electricity,electricity_consumption,1253.0,kWh,0.508,636.524,Scope 2
B0010,Bakery,2024-08,electricity,electricity_consumption,436.0,kWh,0.75,327.0,Scope 2
B0010,Bakery,2024-09,electricity,electricity_consumption,1717.0,kWh,0.508,872.236,Scope 2
B0010,Bakery,2024-09,electricity,electricity_consumption,505.0,kWh,0.75,378.75,Scope 2
B0010,Bakery,2024-10,electricity,electricity_consumption,2006.0,kWh,0.508,1019.048,Scope 2
B0010,Bakery,2024-10,electricity,electricity_consumption,509.0,kWh,0.75,381.75,Scope 2
B0010,Bakery,2024-11,electricity,electricity_consumption,1746.0,kWh,0.508,886.968,Scope 2
B0010,Bakery,2024-11,electricity,electricity_consumption,546.0,kWh,0.75,409.5,Scope 2
B0010,Bakery,2024-12,electricity,electricity_consumption,2253.0,kWh,0.508,1144.524,Scope 2
B0010,Bakery,2024-12,electricity,electricity_consumption,834.0,kWh,0.75,625.5,Scope 2
B0011,Supermarket,2024-01,electricity,electricity_consumption,3239.0,kWh,0.508,1645.412,Scope 2
B0011,Supermarket,2024-01,electricity,electricity_consumption,655.0,kWh,0.75,491.25,Scope 2
B0011,Supermarket,2024-02,electricity,electricity_consumption,7371.0,kWh,0.508,3744.468,Scope 2
B0011,Supermarket,2024-02,electricity,electricity_consumption,1961.0,kWh,0.75,1470.75,Scope 2
B0011,Supermarket,2024-03,electricity,electricity_consumption,6846.0,kWh,0.508,3477.768,Scope 2
B0011,Supermarket,2024-03,electricity,electricity_consumption,2109.0,kWh,0.75,1581.75,Scope 2
B0011,Supermarket,2024-04,electricity,electricity_consumption,5074.0,kWh,0.508,2577.592,Scope 2
B0011,Supermarket,2024-04,electricity,electricity_consumption,1292.0,kWh,0.75,969.0,Scope 2
B0011,Supermarket,2024-05,electricity,electricity_consumption,3938.0,kWh,0.508,2000.504,Scope 2
B0011,Supermarket,2024-05,electricity,electricity_consumption,631.0,kWh,0.75,473.25,Scope 2
B0011,Supermarket,2024-06,electricity,electricity_consumption,5643.0,kWh,0.508,2866.644,Scope 2
B0011,Supermarket,2024-06,electricity,electricity_consumption,663.0,kWh,0.75,497.25,Scope 2
B0011,Supermarket,2024-07,electricity,electricity_consumption,6803.0,kWh,0.508,3455.924,Scope 2
B0011,Supermarket,2024-07,electricity,electricity_consumption,1323.0,kWh,0.75,992.25,Scope 2
B0011,Supermarket,2024-08,electricity,electricity_consumption,6320.0,kWh,0.508,3210.56,Scope 2
B0011,Supermarket,2024-08,electricity,electricity_consumption,1580.0,kWh,0.75,1185.0,Scope 2
B0011,Supermarket,2024-09,electricity,electricity_consumption,3555.0,kWh,0.508,1805.94,Scope 2
B0011,Supermarket,2024-09,electricity,electricity_consumption,533.0,kWh,0.75,399.75,Scope 2
B0011,Supermarket,2024-10,electricity,electricity_consumption,6644.0,kWh,0.508,3375.152,Scope 2
B0011,Supermarket,2024-10,electricity,electricity_consumption,1598.0,kWh,0.75,1198.5,Scope 2
B0011,Supermarket,2024-11,electricity,electricity_consumption,4351.0,kWh,0.508,2210.308,Scope 2
B0011,Supermarket,2024-11,electricity,electricity_consumption,708.0,kWh,0.75,531.0,Scope 2
B0011,Supermarket,2024-12,electricity,electricity_consumption,7403.0,kWh,0.508,3760.724,Scope 2
B0011,Supermarket,2024-12,electricity,electricity_consumption,2132.0,kWh,0.75,1599.0,Scope 2
B0012,Supermarket,2024-01,electricity,electricity_consumption,4298.0,kWh,0.508,2183.384,Scope 2
B0012,Supermarket,2024-01,electricity,electricity_consumption,1464.0,kWh,0.75,1098.0,Scope 2
B0012,Supermarket,2024-02,electricity,electricity_consumption,3022.0,kWh,0.508,1535.176,Scope 2
B0012,Supermarket,2024-02,electricity,electricity_consumption,315.0,kWh,0.75,236.25,Scope 2
B0012,Supermarket,2024-03,electricity,electricity_consumption,5841.0,kWh,0.508,2967.228,Scope 2
B0012,Supermarket,2024-03,electricity,electricity_consumption,1289.0,kWh,0.75,966.75,Scope 2
B0012,Supermarket,2024-04,electricity,electricity_consumption,7192.0,kWh,0.508,3653.536,Scope 2
B0012,Supermarket,2024-04,electricity,electricity_consumption,1586.0,kWh,0.75,1189.5,Scope 2
B0012,Supermarket,2024-05,electricity,electricity_consumption,6302.0,kWh,0.508,3201.416,Scope 2
B0012,Supermarket,2024-05,electricity,electricity_consumption,1993.0,kWh,0.75,1494.75,Scope 2
B0012,Supermarket,2024-06,electricity,electricity_consumption,5753.0,kWh,0.508,2922.524,Scope 2
B0012,Supermarket,2024-06,electricity,electricity_consumption,677.0,kWh,0.75,507.75,Scope 2
B0012,Supermarket,2024-07,electricity,electricity_consumption,4800.0,kWh,0.508,2438.4,Scope 2
B0012,Supermarket,2024-07,electricity,electricity_consumption,667.0,kWh,0.75,500.25,Scope 2
B0012,Supermarket,2024-08,electricity,electricity_consumption,5072.0,kWh,0.508,2576.576,Scope 2
B0012,Supermarket,2024-08,electricity,electricity_consumption,922.0,kWh,0.75,691.5,Scope 2
B0012,Supermarket,2024-09,electricity,electricity_consumption,5882.0,kWh,0.508,2988.056,Scope 2
B0012,Supermarket,2024-09,electricity,electricity_consumption,1659.0,kWh,0.75,1244.25,Scope 2
B0012,Supermarket,2024-10,electricity,electricity_consumption,6047.0,kWh,0.508,3071.876,Scope 2
