business_id,business_type,date,waste_type,disposal_method,weight_kg,unit,emission_factor,emissions_kgCO2e
B0002,Restaurant,2024-11,food,composting,69.42,kg,0.2,13.884
B0002,Restaurant,2024-11,plastic,landfill,14.91,kg,2.5,37.275
B0002,Restaurant,2024-11,paper,landfill,27.52,kg,1.0,27.52
B0002,Restaurant,2024-12,food,landfill,35.52,kg,1.4,49.728
B0002,Restaurant,2024-12,plastic,recycling,40.44,kg,-0.4,-16.176
B0002,Restaurant,2024-12,paper,landfill,18.54,kg,1.0,18.54
B0003,Supermarket,2024-01,food,landfill,64.57,kg,1.4,90.39799999999998
B0003,Supermarket,2024-01,plastic,landfill,33.44,kg,2.5,83.6
B0003,Supermarket,2024-01,paper,recycling,37.39,kg,-0.4,-14.956000000000001
B0003,Supermarket,2024-02,food,composting,61.65,kg,0.2,12.33
B0003,Supermarket,2024-02,plastic,recycling,14.64,kg,-0.4,-5.856000000000001
B0003,Supermarket,2024-02,paper,landfill,58.91,kg,1.0,58.91
B0003,Supermarket,2024-03,food,composting,71.58,kg,0.2,14.316
B0003,Supermarket,2024-03,plastic,landfill,52.26,kg,2.5,130.65
B0003,Supermarket,2024-03,paper,recycling,33.15,kg,-0.4,-13.26
B0003,Supermarket,2024-04,food,landfill,19.7,kg,1.4,27.58
B0003,Supermarket,2024-04,plastic,landfill,98.0,kg,2.5,245.0
B0003,Supermarket,2024-04,paper,recycling,10.37,kg,-0.4,-4.148
B0003,Supermarket,2024-05,food,landfill,41.02,kg,1.4,57.428
B0003,Supermarket,2024-05,plastic,recycling,11.62,kg,-0.4,-4.648
B0003,Supermarket,2024-05,paper,landfill,10.52,kg,1.0,10.52
B0003,Supermarket,2024-06,food,landfill,34.52,kg,1.4,48.328
B0003,Supermarket,2024-06,plastic,recycling,68.9,kg,-0.4,-27.560000000000002
B0003,Supermarket,2024-06,paper,recycling,63.7,kg,-0.4,-25.480000000000004
B0003,Supermarket,2024-07,food,landfill,71.72,kg,1.4,100.40799999999999
B0003,Supermarket,2024-07,plastic,landfill,56.27,kg,2.5,140.675
B0003,Supermarket,2024-07,paper,recycling,85.47,kg,-0.4,-34.188
B0003,Supermarket,2024-08,food,composting,94.78,kg,0.2,18.956
B0003,Supermarket,2024-08,plastic,landfill,29.04,kg,2.5,72.6
B0003,Supermarket,2024-08,paper,landfill,19.62,kg,1.0,19.62
B0003,Supermarket,2024-09,food,composting,94.5,kg,0.2,18.900000000000002
B0003,Supermarket,2024-09,plastic,recycling,65.87,kg,-0.4,-26.348000000000003
B0003,Supermarket,2024-09,paper,recycling,80.78,kg,-0.4,-32.312000000000005
B0003,Supermarket,2024-10,food,composting,42.05,kg,0.2,8.41
B0003,Supermarket,2024-10,plastic,landfill,47.92,kg,2.5,119.80000000000001
B0003,Supermarket,2024-10,paper,landfill,32.91,kg,1.0,32.91
B0003,Supermarket,2024-11,food,composting,23.89,kg,0.2,4.7780000000000005
B0003,Supermarket,2024-11,plastic,recycling,87.38,kg,-0.4,-34.952
B0003,Supermarket,2024-11,paper,landfill,42.3,kg,1.0,42.3
B0003,Supermarket,2024-12,food,composting,95.03,kg,0.2,19.006
B0003,Supermarket,2024-12,plastic,recycling,78.48,kg,-0.4,-31.392000000000003
B0003,Supermarket,2024-12,paper,landfill,59.94,kg,1.0,59.94
