business_id,business_type,billing_period,consumption_kWh,source,activity,unit,emission_factor,emissions_kgCO2e
B0002,Bakery,2024-02,2230,grid,grid_electricity_NG,kWh,0.508,1132.84
B0002,Bakery,2024-02,483,generator,diesel_generator,kWh,0.75,362.25
B0002,Bakery,2024-03,2114,grid,grid_electricity_NG,kWh,0.508,1073.912
B0002,Bakery,2024-03,270,generator,diesel_generator,kWh,0.75,202.5
B0002,Bakery,2024-04,1440,grid,grid_electricity_NG,kWh,0.508,731.52
B0002,Bakery,2024-04,481,generator,diesel_generator,kWh,0.75,360.75
B0002,Bakery,2024-05,1485,grid,grid_electricity_NG,kWh,0.508,754.38
B0002,Bakery,2024-05,575,generator,diesel_generator,kWh,0.75,431.25
B0002,Bakery,2024-06,1528,grid,grid_electricity_NG,kWh,0.508,776.224
B0002,Bakery,2024-06,311,generator,diesel_generator,kWh,0.75,233.25
B0002,Bakery,2024-07,2437,grid,grid_electricity_NG,kWh,0.508,1237.996
B0002,Bakery,2024-07,243,generator,diesel_generator,kWh,0.75,182.25
B0002,Bakery,2024-08,1209,grid,grid_electricity_NG,kWh,0.508,614.172
B0002,Bakery,2024-08,197,generator,diesel_generator,kWh,0.75,147.75
B0002,Bakery,2024-09,2250,grid,grid_electricity_NG,kWh,0.508,1143.0
B0002,Bakery,2024-09,359,generator,diesel_generator,kWh,0.75,269.25
B0002,Bakery,2024-10,1469,grid,grid_electricity_NG,kWh,0.508,746.2520000000001
B0002,Bakery,2024-10,421,generator,diesel_generator,kWh,0.75,315.75
B0002,Bakery,2024-11,2405,grid,grid_electricity_NG,kWh,0.508,1221.74
B0002,Bakery,2024-11,289,generator,diesel_generator,kWh,0.75,216.75
B0002,Bakery,2024-12,2090,grid,grid_electricity_NG,kWh,0.508,1061.72
B0002,Bakery,2024-12,645,generator,diesel_generator,kWh,0.75,483.75
B0003,Bakery,2024-01,2500,grid,grid_electricity_NG,kWh,0.508,1270.0
B0003,Bakery,2024-01,320,generator,diesel_generator,kWh,0.75,240.0
B0003,Bakery,2024-02,1324,grid,grid_electricity_NG,kWh,0.508,672.592
B0003,Bakery,2024-02,387,generator,diesel_generator,kWh,0.75,290.25
B0003,Bakery,2024-03,1958,grid,grid_electricity_NG,kWh,0.508,994.664
B0003,Bakery,2024-03,303,generator,diesel_generator,kWh,0.75,227.25
B0003,Bakery,2024-04,2247,grid,grid_electricity_NG,kWh,0.508,1141.476
B0003,Bakery,2024-04,658,generator,diesel_generator,kWh,0.75,493.5
B0003,Bakery,2024-05,1612,grid,grid_electricity_NG,kWh,0.508,818.896
B0003,Bakery,2024-05,441,generator,diesel_generator,kWh,0.75,330.75
B0003,Bakery,2024-06,1238,grid,grid_electricity_NG,kWh,0.508,628.904
B0003,Bakery,2024-06,129,generator,diesel_generator,kWh,0.75,96.75
B0003,Bakery,2024-07,2436,grid,grid_electricity_NG,kWh,0.508,1237.488
B0003,Bakery,2024-07,702,generator,diesel_generator,kWh,0.75,526.5
B0003,Bakery,2024-08,1349,grid,grid_electricity_NG,kWh,0.508,685.292
B0003,Bakery,2024-08,164,generator,diesel_generator,kWh,0.75,123.0
B0003,Bakery,2024-09,2315,grid,grid_electricity_NG,kWh,0.508,1176.02
B0003,Bakery,2024-09,819,generator,diesel_generator,kWh,0.75,614.25
B0003,Bakery,2024-10,2314,grid,grid_electricity_NG,kWh,0.508,1175.512
B0003,Bakery,2024-10,524,generator,diesel_generator,kWh,0.75,393.0
B0003,Bakery,2024-11,1348,grid,grid_electricity_NG,kWh,0.508,684.784
B0003,Bakery,2024-11,383,generator,diesel_generator,kWh,0.75,287.25
B0003,Bakery,2024-12,1803,grid,grid_electricity_NG,kWh,0.508,915.924
B0003,Bakery,2024-12,352,generator,diesel_generator,kWh,0.75,264.0
B0004,Bakery,2024-01,1241,grid,grid_electricity_NG,kWh,0.508,630.428
B0004,Bakery,2024-01,405,generator,diesel_generator,kWh,0.75,303.75
B0004,Bakery,2024-02,2398,grid,grid_electricity_NG,kWh,0.508,1218.184
B0004,Bakery,2024-02,948,generator,diesel_generator,kWh,0.75,711.0
B0004,Bakery,2024-03,2421,grid,grid_electricity_NG,kWh,0.508,1229.868
B0004,Bakery,2024-03,940,generator,diesel_generator,kWh,0.75,705.0
B0004,Bakery,2024-04,2214,grid,grid_electricity_NG,kWh,0.508,1124.712
B0004,Bakery,2024-04,668,generator,diesel_generator,kWh,0.75,501.0
B0004,Bakery,2024-05,1451,grid,grid_electricity_NG,kWh,0.508,737.1080000000001
B0004,Bakery,2024-05,291,generator,diesel_generator,kWh,0.75,218.25
B0004,Bakery,2024-06,1605,grid,grid_electricity_NG,kWh,0.508,815.34
B0004,Bakery,2024-06,174,generator,diesel_generator,kWh,0.75,130.5
B0004,Bakery,2024-07,2251,grid,grid_electricity_NG,kWh,0.508,1143.508
B0004,Bakery,2024-07,512,generator,diesel_generator,kWh,0.75,384.0
B0004,Bakery,2024-08,2079,grid,grid_electricity_NG,kWh,0.508,1056.132
B0004,Bakery,2024-08,430,generator,diesel_generator,kWh,0.75,322.5
B0004,Bakery,2024-09,2154,grid,grid_electricity_NG,kWh,0.508,1094.232
B0004,Bakery,2024-09,490,generator,diesel_generator,kWh,0.75,367.5
B0004,Bakery,2024-10,1843,grid,grid_electricity_NG,kWh,0.508,936.244
B0004,Bakery,2024-10,479,generator,diesel_generator,kWh,0.75,359.25
B0004,Bakery,2024-11,2049,grid,grid_electricity_NG,kWh,0.508,1040.892
B0004,Bakery,2024-11,342,generator,diesel_generator,kWh,0.75,256.5
B0004,Bakery,2024-12,1868,grid,grid_electricity_NG,kWh,0.508,948.944
B0004,Bakery,2024-12,695,generator,diesel_generator,kWh,0.75,521.25
B0005,Bakery,2024-01,2264,grid,grid_electricity_NG,kWh,0.508,1150.112
B0005,Bakery,2024-01,379,generator,diesel_generator,kWh,0.75,284.25
B0005,Bakery,2024-02,1645,grid,grid_electricity_NG,kWh,0.508,835.66
B0005,Bakery,2024-02,314,generator,diesel_generator,kWh,0.75,235.5
B0005,Bakery,2024-03,2070,grid,grid_electricity_NG,kWh,0.508,1051.56
B0005,Bakery,2024-03,813,generator,diesel_generator,kWh,0.75,609.75
B0005,Bakery,2024-04,1576,grid,grid_electricity_NG,kWh,0.508,800.6080000000001
B0005,Bakery,2024-04,526,generator,diesel_generator,kWh,0.75,394.5
B0005,Bakery,2024-05,1275,grid,grid_electricity_NG,kWh,0.508,647.7
B0005,Bakery,2024-05,361,generator,diesel_generator,kWh,0.75,270.75
B0005,Bakery,2024-06,2293,grid,grid_electricity_NG,kWh,0.508,1164.844
B0005,Bakery,2024-06,353,generator,diesel_generator,kWh,0.75,264.75
B0005,Bakery,2024-07,2498,grid,grid_electricity_NG,kWh,0.508,1268.984
B0005,Bakery,2024-07,664,generator,diesel_generator,kWh,0.75,498.0
B0005,Bakery,2024-08,1648,grid,grid_electricity_NG,kWh,0.508,837.184
B0005,Bakery,2024-08,249,generator,diesel_generator,kWh,0.75,186.75
B0005,Bakery,2024-09,2046,grid,grid_electricity_NG,kWh,0.508,1039.368
B0005,Bakery,2024-09,647,generator,diesel_generator,kWh,0.75,485.25
B0005,Bakery,2024-10,1819,grid,grid_electricity_NG,kWh,0.508,924.052
B0005,Bakery,2024-10,651,generator,diesel_generator,kWh,0.75,488.25
B0005,Bakery,2024-11,2348,grid,grid_electricity_NG,kWh,0.508,1192.784
B0005,Bakery,2024-11,510,generator,diesel_generator,kWh,0.75,382.5
B0005,Bakery,2024-12,2317,grid,grid_electricity_NG,kWh,0.508,1177.036
B0005,Bakery,2024-12,254,generator,diesel_generator,kWh,0.75,190.5
B0006,Bakery,2024-01,1393,grid,grid_electricity_NG,kWh,0.508,707.644
B0006,Bakery,2024-01,364,generator,diesel_generator,kWh,0.75,273.0
B0006,Bakery,2024-02,1721,grid,grid_electricity_NG,kWh,0.508,874.268
B0006,Bakery,2024-02,444,generator,diesel_generator,kWh,0.75,333.0
B0006,Bakery,2024-03,2318,grid,grid_electricity_NG,kWh,0.508,1177.544
B0006,Bakery,2024-03,385,generator,diesel_generator,kWh,0.75,288.75
B0006,Bakery,2024-04,2333,grid,grid_electricity_NG,kWh,0.508,1185.164
B0006,Bakery,2024-04,817,generator,diesel_generator,kWh,0.75,612.75
B0006,Bakery,2024-05,1845,grid,grid_electricity_NG,kWh,0.508,937.26
B0006,Bakery,2024-05,425,generator,diesel_generator,kWh,0.75,318.75
B0006,Bakery,2024-06,2092,grid,grid_electricity_NG,kWh,0.508,1062.736
B0006,Bakery,2024-06,395,generator,diesel_generator,kWh,0.75,296.25
B0006,Bakery,2024-07,2469,grid,grid_electricity_NG,kWh,0.508,1254.252
B0006,Bakery,2024-07,341,generator,diesel_generator,kWh,0.75,255.75
B0006,Bakery,2024-08,1882,grid,grid_electricity_NG,kWh,0.508,956.056
B0006,Bakery,2024-08,213,generator,diesel_generator,kWh,0.75,159.75
B0006,Bakery,2024-09,1739,grid,grid_electricity_NG,kWh,0.508,883.412
B0006,Bakery,2024-09,440,generator,diesel_generator,kWh,0.75,330.0
B0006,Bakery,2024-10,1334,grid,grid_electricity_NG,kWh,0.508,677.672
B0006,Bakery,2024-10,316,generator,diesel_generator,kWh,0.75,237.0
B0006,Bakery,2024-11,1943,grid,grid_electricity_NG,kWh,0.508,987.044
B0006,Bakery,2024-11,539,generator,diesel_generator,kWh,0.75,404.25
B0006,Bakery,2024-12,1869,grid,grid_electricity_NG,kWh,0.508,949.452
B0006,Bakery,2024-12,393,generator,diesel_generator,kWh,0.75,294.75
B0007,Bakery,2024-01,2044,grid,grid_electricity_NG,kWh,0.508,1038.352
B0007,Bakery,2024-01,700,generator,diesel_generator,kWh,0.75,525.0
B0007,Bakery,2024-02,1517,grid,grid_electricity_NG,kWh,0.508,770.636
B0007,Bakery,2024-02,538,generator,diesel_generator,kWh,0.75,403.5
B0007,Bakery,2024-03,2199,grid,grid_electricity_NG,kWh,0.508,1117.092
B0007,Bakery,2024-03,348,generator,diesel_generator,kWh,0.75,261.0
B0007,Bakery,2024-04,1406,grid,grid_electricity_NG,kWh,0.508,714.248
B0007,Bakery,2024-04,208,generator,diesel_generator,kWh,0.75,156.0
B0007,Bakery,2024-05,2230,grid,grid_electricity_NG,kWh,0.508,1132.84
B0007,Bakery,2024-05,796,generator,diesel_generator,kWh,0.75,597.0
B0007,Bakery,2024-06,1707,grid,grid_electricity_NG,kWh,0.508,867.1560000000001
B0007,Bakery,2024-06,203,generator,diesel_generator,kWh,0.75,152.25
B0007,Bakery,2024-07,1534,grid,grid_electricity_NG,kWh,0.508,779.272
B0007,Bakery,2024-07,418,generator,diesel_generator,kWh,0.75,313.5
B0007,Bakery,2024-08,1887,grid,grid_electricity_NG,kWh,0.508,958.596
B0007,Bakery,2024-08,650,generator,diesel_generator,kWh,0.75,487.5
B0007,Bakery,2024-09,1302,grid,grid_electricity_NG,kWh,0.508,661.416
B0007,Bakery,2024-09,512,generator,diesel_generator,kWh,0.75,384.0
B0007,Bakery,2024-10,1317,grid,grid_electricity_NG,kWh,0.508,669.0360000000001
B0007,Bakery,2024-10,197,generator,diesel_generator,kWh,0.75,147.75
B0007,Bakery,2024-11,1665,grid,grid_electricity_NG,kWh,0.508,845.82
B0007,Bakery,2024-11,166,generator,diesel_generator,kWh,0.75,124.5
B0007,Bakery,2024-12,1842,grid,grid_electricity_NG,kWh,0.508,935.736
B0007,Bakery,2024-12,478,generator,diesel_generator,kWh,0.75,358.5
B0008,Bakery,2024-01,2159,grid,grid_electricity_NG,kWh,0.508,1096.772
B0008,Bakery,2024-01,344,generator,diesel_generator,kWh,0.75,258.0
B0008,Bakery,2024-02,2167,grid,grid_electricity_NG,kWh,0.508,1100.836
B0008,Bakery,2024-02,325,generator,diesel_generator,kWh,0.75,243.75
B0008,Bakery,2024-03,2418,grid,grid_electricity_NG,kWh,0.508,1228.344
B0008,Bakery,2024-03,862,generator,diesel_generator,kWh,0.75,646.5
B0008,Bakery,2024-04,1830,grid,grid_electricity_NG,kWh,0.508,929.64
B0008,Bakery,2024-04,526,generator,diesel_generator,kWh,0.75,394.5
B0008,Bakery,2024-05,1451,grid,grid_electricity_NG,kWh,0.508,737.1080000000001
B0008,Bakery,2024-05,483,generator,diesel_generator,kWh,0.75,362.25
B0008,Bakery,2024-06,2396,grid,grid_electricity_NG,kWh,0.508,1217.1680000000001
B0008,Bakery,2024-06,660,generator,diesel_generator,kWh,0.75,495.0
B0008,Bakery,2024-07,2205,grid,grid_electricity_NG,kWh,0.508,1120.14
B0008,Bakery,2024-07,733,generator,diesel_generator,kWh,0.75,549.75
B0008,Bakery,2024-08,2401,grid,grid_electricity_NG,kWh,0.508,1219.708
B0008,Bakery,2024-08,582,generator,diesel_generator,kWh,0.75,436.5
B0008,Bakery,2024-09,2202,grid,grid_electricity_NG,kWh,0.508,1118.616
B0008,Bakery,2024-09,753,generator,diesel_generator,kWh,0.75,564.75
B0008,Bakery,2024-10,1615,grid,grid_electricity_NG,kWh,0.508,820.42
B0008,Bakery,2024-10,320,generator,diesel_generator,kWh,0.75,240.0
B0008,Bakery,2024-11,2425,grid,grid_electricity_NG,kWh,0.508,1231.9
B0008,Bakery,2024-11,807,generator,diesel_generator,kWh,0.75,605.25
B0008,Bakery,2024-12,2111,grid,grid_electricity_NG,kWh,0.508,1072.388
B0008,Bakery,2024-12,663,generator,diesel_generator,kWh,0.75,497.25
B0009,Bakery,2024-01,1829,grid,grid_electricity_NG,kWh,0.508,929.1320000000001
B0009,Bakery,2024-01,557,generator,diesel_generator,kWh,0.75,417.75
B0009,Bakery,2024-02,1473,grid,grid_electricity_NG,kWh,0.508,748.284
B0009,Bakery,2024-02,318,generator,diesel_generator,kWh,0.75,238.5
B0009,Bakery,2024-03,1502,grid,grid_electricity_NG,kWh,0.508,763.016
B0009,Bakery,2024-03,512,generator,diesel_generator,kWh,0.75,384.0
B0009,Bakery,2024-04,1539,grid,grid_electricity_NG,kWh,0.508,781.812
B0009,Bakery,2024-04,569,generator,diesel_generator,kWh,0.75,426.75
B0009,Bakery,2024-05,2156,grid,grid_electricity_NG,kWh,0.508,1095.248
B0009,Bakery,2024-05,800,generator,diesel_generator,kWh,0.75,600.0
B0009,Bakery,2024-06,1214,grid,grid_electricity_NG,kWh,0.508,616.712
B0009,Bakery,2024-06,124,generator,diesel_generator,kWh,0.75,93.0
B0009,Bakery,2024-07,1547,grid,grid_electricity_NG,kWh,0.508,785.876
B0009,Bakery,2024-07,255,generator,diesel_generator,kWh,0.75,191.25
B0009,Bakery,2024-08,1937,grid,grid_electricity_NG,kWh,0.508,983.996
B0009,Bakery,2024-08,585,generator,diesel_generator,kWh,0.75,438.75
B0009,Bakery,2024-09,1358,grid,grid_electricity_NG,kWh,0.508,689.864
B0009,Bakery,2024-09,143,generator,diesel_generator,kWh,0.75,107.25
B0009,Bakery,2024-10,1485,grid,grid_electricity_NG,kWh,0.508,754.38
B0009,Bakery,2024-10,247,generator,diesel_generator,kWh,0.75,185.25
B0009,Bakery,2024-11,2348,grid,grid_electricity_NG,kWh,0.508,1192.784
B0009,Bakery,2024-11,364,generator,diesel_generator,kWh,0.75,273.0
B0009,Bakery,2024-12,2113,grid,grid_electricity_NG,kWh,0.508,1073.404
B0009,Bakery,2024-12,760,generator,diesel_generator,kWh,0.75,570.0
B0010,Bakery,2024-01,2136,grid,grid_electricity_NG,kWh,0.508,1085.088
B0010,Bakery,2024-01,592,generator,diesel_generator,kWh,0.75,444.0
B0010,Bakery,2024-02,1405,grid,grid_electricity_NG,kWh,0.508,713.74
B0010,Bakery,2024-02,142,generator,diesel_generator,kWh,0.75,106.5
B0010,Bakery,2024-03,2297,grid,grid_electricity_NG,kWh,0.508,1166.876
B0010,Bakery,2024-03,708,generator,diesel_generator,kWh,0.75,531.0
B0010,Bakery,2024-04,2104,grid,grid_electricity_NG,kWh,0.508,1068.832
B0010,Bakery,2024-04,334,generator,diesel_generator,kWh,0.75,250.5
B0010,Bakery,2024-05,2198,grid,grid_electricity_NG,kWh,0.508,1116.584
B0010,Bakery,2024-05,797,generator,diesel_generator,kWh,0.75,597.75
B0010,Bakery,2024-06,1738,grid,grid_electricity_NG,kWh,0.508,882.904
B0010,Bakery,2024-06,321,generator,diesel_generator,kWh,0.75,240.75
B0010,Bakery,2024-07,1896,grid,grid_electricity_NG,kWh,0.508,963.168
B0010,Bakery,2024-07,507,generator,diesel_generator,kWh,0.75,380.25
B0010,Bakery,2024-08,1253,grid,grid_electricity_NG,kWh,0.508,636.524
B0010,Bakery,2024-08,436,generator,diesel_generator,kWh,0.75,327.0
B0010,Bakery,2024-09,1717,grid,grid_electricity_NG,kWh,0.508,872.236
B0010,Bakery,2024-09,505,generator,diesel_generator,kWh,0.75,378.75
B0010,Bakery,2024-10,2006,grid,grid_electricity_NG,kWh,0.508,1019.048
B0010,Bakery,2024-10,509,generator,diesel_generator,kWh,0.75,381.75
B0010,Bakery,2024-11,1746,grid,grid_electricity_NG,kWh,0.508,886.968
B0010,Bakery,2024-11,546,generator,diesel_generator,kWh,0.75,409.5
B0010,Bakery,2024-12,2253,grid,grid_electricity_NG,kWh,0.508,1144.5240000000001
B0010,Bakery,2024-12,834,generator,diesel_generator,kWh,0.75,625.5
B0011,Supermarket,2024-01,3239,grid,grid_electricity_NG,kWh,0.508,1645.412
B0011,Supermarket,2024-01,655,generator,diesel_generator,kWh,0.75,491.25
B0011,Supermarket,2024-02,7371,grid,grid_electricity_NG,kWh,0.508,3744.468
B0011,Supermarket,2024-02,1961,generator,diesel_generator,kWh,0.75,1470.75
B0011,Supermarket,2024-03,6846,grid,grid_electricity_NG,kWh,0.508,3477.768
B0011,Supermarket,2024-03,2109,generator,diesel_generator,kWh,0.75,1581.75
B0011,Supermarket,2024-04,5074,grid,grid_electricity_NG,kWh,0.508,2577.592
B0011,Supermarket,2024-04,1292,generator,diesel_generator,kWh,0.75,969.0
B0011,Supermarket,2024-05,3938,grid,grid_electricity_NG,kWh,0.508,2000.5040000000001
B0011,Supermarket,2024-05,631,generator,diesel_generator,kWh,0.75,473.25
B0011,Supermarket,2024-06,5643,grid,grid_electricity_NG,kWh,0.508,2866.6440000000002
B0011,Supermarket,2024-06,663,generator,diesel_generator,kWh,0.75,497.25
B0011,Supermarket,2024-07,6803,grid,grid_electricity_NG,kWh,0.508,3455.924
B0011,Supermarket,2024-07,1323,generator,diesel_generator,kWh,0.75,992.25
B0011,Supermarket,2024-08,6320,grid,grid_electricity_NG,kWh,0.508,3210.56
B0011,Supermarket,2024-08,1580,generator,diesel_generator,kWh,0.75,1185.0
B0011,Supermarket,2024-09,3555,grid,grid_electricity_NG,kWh,0.508,1805.94
B0011,Supermarket,2024-09,533,generator,diesel_generator,kWh,0.75,399.75
B0011,Supermarket,2024-10,6644,grid,grid_electricity_NG,kWh,0.508,3375.152
B0011,Supermarket,2024-10,1598,generator,diesel_generator,kWh,0.75,1198.5
B0011,Supermarket,2024-11,4351,grid,grid_electricity_NG,kWh,0.508,2210.308
B0011,Supermarket,2024-11,708,generator,diesel_generator,kWh,0.75,531.0
B0011,Supermarket,2024-12,7403,grid,grid_electricity_NG,kWh,0.508,3760.724
B0011,Supermarket,2024-12,2132,generator,diesel_generator,kWh,0.75,1599.0
B0012,Supermarket,2024-01,4298,grid,grid_electricity_NG,kWh,0.508,2183.384
B0012,Supermarket,2024-01,1464,generator,diesel_generator,kWh,0.75,1098.0
B0012,Supermarket,2024-02,3022,grid,grid_electricity_NG,kWh,0.508,1535.176
B0012,Supermarket,2024-02,315,generator,diesel_generator,kWh,0.75,236.25
B0012,Supermarket,2024-03,5841,grid,grid_electricity_NG,kWh,0.508,2967.228
B0012,Supermarket,2024-03,1289,generator,diesel_generator,kWh,0.75,966.75
B0012,Supermarket,2024-04,7192,grid,grid_electricity_NG,kWh,0.508,3653.536
B0012,Supermarket,2024-04,1586,generator,diesel_generator,kWh,0.75,1189.5
B0012,Supermarket,2024-05,6302,grid,grid_electricity_NG,kWh,0.508,3201.416
B0012,Supermarket,2024-05,1993,generator,diesel_generator,kWh,0.75,1494.75
B0012,Supermarket,2024-06,5753,grid,grid_electricity_NG,kWh,0.508,2922.524
B0012,Supermarket,2024-06,677,generator,diesel_generator,kWh,0.75,507.75
B0012,Supermarket,2024-07,4800,grid,grid_electricity_NG,kWh,0.508,2438.4
B0012,Supermarket,2024-07,667,generator,diesel_generator,kWh,0.75,500.25
B0012,Supermarket,2024-08,5072,grid,grid_electricity_NG,kWh,0.508,2576.576
B0012,Supermarket,2024-08,922,generator,diesel_generator,kWh,0.75,691.5
B0012,Supermarket,2024-09,5882,grid,grid_electricity_NG,kWh,0.508,2988.056
B0012,Supermarket,2024-09,1659,generator,diesel_generator,kWh,0.75,1244.25
B0012,Supermarket,2024-10,6047,grid,grid_electricity_NG,kWh,0.508,3071.876
B0012,Supermarket,2024-10,1522,generator,diesel_generator,kWh,0.75,1141.5
B0012,Supermarket,2024-11,6802,grid,grid_electricity_NG,kWh,0.508,3455.416
B0012,Supermarket,2024-11,2057,generator,diesel_generator,kWh,0.75,1542.75
B0012,Supermarket,2024-12,5438,grid,grid_electricity_NG,kWh,0.508,2762.504
B0012,Supermarket,2024-12,1690,generator,diesel_generator,kWh,0.75,1267.5
B0013,Supermarket,2024-01,7055,grid,grid_electricity_NG,kWh,0.508,3583.94
B0013,Supermarket,2024-01,2493,generator,diesel_generator,kWh,0.75,1869.75
B0013,Supermarket,2024-02,7538,grid,grid_electricity_NG,kWh,0.508,3829.304
B0013,Supermarket,2024-02,2843,generator,diesel_generator,kWh,0.75,2132.25
B0013,Supermarket,2024-03,3233,grid,grid_electricity_NG,kWh,0.508,1642.364
B0013,Supermarket,2024-03,555,generator,diesel_generator,kWh,0.75,416.25
B0013,Supermarket,2024-04,5871,grid,grid_electricity_NG,kWh,0.508,2982.468
B0013,Supermarket,2024-04,688,generator,diesel_generator,kWh,0.75,516.0
B0013,Supermarket,2024-05,5421,grid,grid_electricity_NG,kWh,0.508,2753.868
B0013,Supermarket,2024-05,1859,generator,diesel_generator,kWh,0.75,1394.25
B0013,Supermarket,2024-06,5056,grid,grid_electricity_NG,kWh,0.508,2568.448
B0013,Supermarket,2024-06,1724,generator,diesel_generator,kWh,0.75,1293.0
B0013,Supermarket,2024-07,3278,grid,grid_electricity_NG,kWh,0.508,1665.224
B0013,Supermarket,2024-07,619,generator,diesel_generator,kWh,0.75,464.25
B0013,Supermarket,2024-08,3667,grid,grid_electricity_NG,kWh,0.508,1862.836
B0013,Supermarket,2024-08,861,generator,diesel_generator,kWh,0.75,645.75
B0013,Supermarket,2024-09,5412,grid,grid_electricity_NG,kWh,0.508,2749.296
B0013,Supermarket,2024-09,1876,generator,diesel_generator,kWh,0.75,1407.0
B0013,Supermarket,2024-10,6357,grid,grid_electricity_NG,kWh,0.508,3229.356
B0013,Supermarket,2024-10,2069,generator,diesel_generator,kWh,0.75,1551.75
B0013,Supermarket,2024-11,6137,grid,grid_electricity_NG,kWh,0.508,3117.596
B0013,Supermarket,2024-11,1163,generator,diesel_generator,kWh,0.75,872.25
B0013,Supermarket,2024-12,3202,grid,grid_electricity_NG,kWh,0.508,1626.616
B0013,Supermarket,2024-12,1233,generator,diesel_generator,kWh,0.75,924.75
B0014,Supermarket,2024-01,6361,grid,grid_electricity_NG,kWh,0.508,3231.388
B0014,Supermarket,2024-01,1471,generator,diesel_generator,kWh,0.75,1103.25
B0014,Supermarket,2024-02,7601,grid,grid_electricity_NG,kWh,0.508,3861.308
B0014,Supermarket,2024-02,2624,generator,diesel_generator,kWh,0.75,1968.0
B0014,Supermarket,2024-03,7880,grid,grid_electricity_NG,kWh,0.508,4003.04
B0014,Supermarket,2024-03,2531,generator,diesel_generator,kWh,0.75,1898.25
B0014,Supermarket,2024-04,4927,grid,grid_electricity_NG,kWh,0.508,2502.916
B0014,Supermarket,2024-04,1346,generator,diesel_generator,kWh,0.75,1009.5
B0014,Supermarket,2024-05,6356,grid,grid_electricity_NG,kWh,0.508,3228.848
B0014,Supermarket,2024-05,1788,generator,diesel_generator,kWh,0.75,1341.0
B0014,Supermarket,2024-06,4405,grid,grid_electricity_NG,kWh,0.508,2237.7400000000002
B0014,Supermarket,2024-06,1139,generator,diesel_generator,kWh,0.75,854.25
B0014,Supermarket,2024-07,7832,grid,grid_electricity_NG,kWh,0.508,3978.656
B0014,Supermarket,2024-07,1959,generator,diesel_generator,kWh,0.75,1469.25
B0014,Supermarket,2024-08,5799,grid,grid_electricity_NG,kWh,0.508,2945.892
B0014,Supermarket,2024-08,941,generator,diesel_generator,kWh,0.75,705.75
B0014,Supermarket,2024-09,4538,grid,grid_electricity_NG,kWh,0.508,2305.304
B0014,Supermarket,2024-09,577,generator,diesel_generator,kWh,0.75,432.75
B0014,Supermarket,2024-10,6890,grid,grid_electricity_NG,kWh,0.508,3500.12
B0014,Supermarket,2024-10,2325,generator,diesel_generator,kWh,0.75,1743.75
B0014,Supermarket,2024-11,4757,grid,grid_electricity_NG,kWh,0.508,2416.556
B0014,Supermarket,2024-11,1859,generator,diesel_generator,kWh,0.75,1394.25
B0014,Supermarket,2024-12,5727,grid,grid_electricity_NG,kWh,0.508,2909.3160000000003
B0014,Supermarket,2024-12,1769,generator,diesel_generator,kWh,0.75,1326.75
B0015,Supermarket,2024-01,3864,grid,grid_electricity_NG,kWh,0.508,1962.912
B0015,Supermarket,2024-01,523,generator,diesel_generator,kWh,0.75,392.25
B0015,Supermarket,2024-02,5940,grid,grid_electricity_NG,kWh,0.508,3017.52
