business_id,business_type,date,mode,distance_km,unit,emission_factor,emissions_kgCO2e
B0003,Supermarket,2024-04,car_petrol,158.7,km,0.225,35.707499999999996
B0003,Supermarket,2024-05,bus,2546.1,passenger-km,0.088,224.05679999999998
B0003,Supermarket,2024-05,bus,3663.8,passenger-km,0.088,322.4144
B0003,Supermarket,2024-06,motorbike,274.6,km,0.112,30.755200000000002
B0003,Supermarket,2024-06,delivery_van,33.8,km,0.315,10.646999999999998
B0003,Supermarket,2024-07,delivery_van,33.7,km,0.315,10.6155
B0003,Supermarket,2024-07,motorbike,147.9,km,0.112,16.5648
B0003,Supermarket,2024-07,car_petrol,278.9,km,0.225,62.7525
B0003,Supermarket,2024-07,motorbike,242.2,km,0.112,27.1264
B0003,Supermarket,2024-07,delivery_van,169.7,km,0.315,53.455499999999994
B0003,Supermarket,2024-08,car_petrol,255.2,km,0.225,57.42
B0003,Supermarket,2024-08,car_diesel,98.4,km,0.201,19.7784
B0003,Supermarket,2024-09,delivery_van,154.3,km,0.315,48.6045
B0003,Supermarket,2024-09,bus,970.2,passenger-km,0.088,85.3776
B0003,Supermarket,2024-10,delivery_van,135.9,km,0.315,42.8085
B0003,Supermarket,2024-10,car_diesel,249.7,km,0.201,50.1897
B0003,Supermarket,2024-10,car_diesel,54.4,km,0.201,10.9344
B0003,Supermarket,2024-10,delivery_van,270.7,km,0.315,85.2705
B0003,Supermarket,2024-10,car_petrol,28.5,km,0.225,6.4125000000000005
B0003,Supermarket,2024-11,delivery_van,191.6,km,0.315,60.354
B0003,Supermarket,2024-11,motorbike,51.8,km,0.112,5.8016
B0003,Supermarket,2024-12,car_petrol,174.4,km,0.225,39.24
B0003,Supermarket,2024-12,car_diesel,290.6,km,0.201,58.41060000000001
B0003,Supermarket,2024-12,motorbike,291.8,km,0.112,32.6816
B0003,Supermarket,2024-12,car_petrol,218.3,km,0.225,49.11750000000001
B0003,Supermarket,2024-12,delivery_van,15.8,km,0.315,4.977
B0004,Pharmacy,2024-01,car_petrol,107.7,km,0.225,24.2325
B0004,Pharmacy,2024-01,motorbike,85.7,km,0.112,9.5984
B0004,Pharmacy,2024-01,bus,139.0,passenger-km,0.088,12.232
B0004,Pharmacy,2024-01,car_diesel,204.0,km,0.201,41.004000000000005
B0004,Pharmacy,2024-02,bus,3342.0,passenger-km,0.088,294.096
B0004,Pharmacy,2024-02,car_diesel,118.6,km,0.201,23.8386
B0004,Pharmacy,2024-02,car_petrol,29.6,km,0.225,6.66
B0004,Pharmacy,2024-02,car_petrol,200.9,km,0.225,45.2025
B0004,Pharmacy,2024-02,delivery_van,285.5,km,0.315,89.9325
B0004,Pharmacy,2024-03,motorbike,104.6,km,0.112,11.7152
B0004,Pharmacy,2024-03,delivery_van,50.0,km,0.315,15.75
B0004,Pharmacy,2024-03,motorbike,38.0,km,0.112,4.256
B0004,Pharmacy,2024-03,motorbike,197.9,km,0.112,22.1648
B0004,Pharmacy,2024-03,delivery_van,18.8,km,0.315,5.922000000000001
B0004,Pharmacy,2024-04,delivery_van,225.2,km,0.315,70.938
B0004,Pharmacy,2024-04,car_petrol,65.6,km,0.225,14.76
B0004,Pharmacy,2024-04,motorbike,28.4,km,0.112,3.1808
B0004,Pharmacy,2024-04,motorbike,36.5,km,0.112,4.088
B0004,Pharmacy,2024-04,delivery_van,94.7,km,0.315,29.8305
B0004,Pharmacy,2024-05,car_petrol,30.1,km,0.225,6.772500000000001
B0004,Pharmacy,2024-05,delivery_van,177.1,km,0.315,55.7865
B0004,Pharmacy,2024-05,car_petrol,44.9,km,0.225,10.1025
B0004,Pharmacy,2024-05,delivery_van,246.4,km,0.315,77.616
B0004,Pharmacy,2024-06,motorbike,47.7,km,0.112,5.3424000000000005
B0004,Pharmacy,2024-06,motorbike,209.3,km,0.112,23.4416
B0004,Pharmacy,2024-06,motorbike,218.4,km,0.112,24.460800000000003
B0004,Pharmacy,2024-06,car_diesel,242.1,km,0.201,48.6621
B0004,Pharmacy,2024-07,car_diesel,52.2,km,0.201,10.4922
B0004,Pharmacy,2024-07,bus,1357.1999999999998,passenger-km,0.088,119.43359999999997
B0004,Pharmacy,2024-07,delivery_van,59.2,km,0.315,18.648
B0004,Pharmacy,2024-08,bus,53.4,passenger-km,0.088,4.699199999999999
B0004,Pharmacy,2024-08,car_diesel,235.6,km,0.201,47.3556
B0004,Pharmacy,2024-09,car_petrol,111.6,km,0.225,25.11
B0004,Pharmacy,2024-09,car_diesel,77.1,km,0.201,15.4971
B0004,Pharmacy,2024-10,car_diesel,181.1,km,0.201,36.4011
B0004,Pharmacy,2024-10,car_petrol,282.0,km,0.225,63.45
B0004,Pharmacy,2024-10,delivery_van,21.5,km,0.315,6.7725
B0004,Pharmacy,2024-11,car_petrol,18.7,km,0.225,4.2075
B0004,Pharmacy,2024-11,bus,2327.4,passenger-km,0.088,204.81119999999999
B0004,Pharmacy,2024-12,delivery_van,225.2,km,0.315,70.938
B0004,Pharmacy,2024-12,bus,1428.8,passenger-km,0.088,125.7344
B0004,Pharmacy,2024-12,delivery_van,81.5,km,0.315,25.6725
B0004,Pharmacy,2024-12,car_diesel,85.9,km,0.201,17.265900000000002
B0004,Pharmacy,2024-12,delivery_van,231.7,km,0.315,72.9855
B0005,FuelStation,2024-01,bus,1457.5,passenger-km,0.088,128.26
B0005,FuelStation,2024-01,car_diesel,34.0,km,0.201,6.8340000000000005
B0005,FuelStation,2024-01,delivery_van,138.1,km,0.315,43.5015
B0005,FuelStation,2024-01,delivery_van,109.6,km,0.315,34.524
B0005,FuelStation,2024-02,car_diesel,90.7,km,0.201,18.230700000000002
B0005,FuelStation,2024-02,car_diesel,38.2,km,0.201,7.678200000000001
B0005,FuelStation,2024-02,motorbike,187.2,km,0.112,20.9664
B0005,FuelStation,2024-02,car_diesel,34.0,km,0.201,6.8340000000000005
B0005,FuelStation,2024-03,motorbike,172.7,km,0.112,19.342399999999998
B0005,FuelStation,2024-03,bus,508.19999999999993,passenger-km,0.088,44.72159999999999
B0005,FuelStation,2024-03,bus,1555.2,passenger-km,0.088,136.8576
B0005,FuelStation,2024-03,car_petrol,84.1,km,0.225,18.9225
B0005,FuelStation,2024-03,bus,853.8000000000001,passenger-km,0.088,75.1344
B0005,FuelStation,2024-04,bus,1533.6,passenger-km,0.088,134.9568
B0005,FuelStation,2024-04,car_diesel,263.5,km,0.201,52.9635
B0005,FuelStation,2024-04,motorbike,145.4,km,0.112,16.2848
B0005,FuelStation,2024-04,bus,230.0,passenger-km,0.088,20.24
B0005,FuelStation,2024-05,car_petrol,265.3,km,0.225,59.6925
B0005,FuelStation,2024-05,motorbike,106.2,km,0.112,11.894400000000001
B0005,FuelStation,2024-05,bus,923.5,passenger-km,0.088,81.268
B0005,FuelStation,2024-05,delivery_van,118.7,km,0.315,37.3905
B0005,FuelStation,2024-05,car_petrol,258.0,km,0.225,58.050000000000004
B0005,FuelStation,2024-06,car_petrol,97.1,km,0.225,21.8475
B0005,FuelStation,2024-06,delivery_van,267.6,km,0.315,84.29400000000001
B0005,FuelStation,2024-06,motorbike,92.7,km,0.112,10.3824
B0005,FuelStation,2024-06,car_diesel,114.8,km,0.201,23.0748
B0005,FuelStation,2024-06,motorbike,103.1,km,0.112,11.5472
B0005,FuelStation,2024-07,delivery_van,164.5,km,0.315,51.8175
B0005,FuelStation,2024-07,delivery_van,270.6,km,0.315,85.239
B0005,FuelStation,2024-07,delivery_van,204.6,km,0.315,64.449
B0005,FuelStation,2024-07,car_diesel,196.9,km,0.201,39.5769
B0005,FuelStation,2024-07,delivery_van,67.7,km,0.315,21.3255
B0005,FuelStation,2024-08,motorbike,190.0,km,0.112,21.28
B0005,FuelStation,2024-08,car_petrol,49.6,km,0.225,11.16
B0005,FuelStation,2024-08,car_petrol,136.5,km,0.225,30.712500000000002
B0005,FuelStation,2024-09,motorbike,181.7,km,0.112,20.3504
B0005,FuelStation,2024-09,bus,335.5,passenger-km,0.088,29.523999999999997
B0005,FuelStation,2024-09,bus,522.0,passenger-km,0.088,45.936
B0005,FuelStation,2024-09,car_diesel,166.9,km,0.201,33.5469
B0005,FuelStation,2024-10,car_petrol,91.3,km,0.225,20.5425
B0005,FuelStation,2024-10,car_petrol,238.6,km,0.225,53.685
B0005,FuelStation,2024-10,delivery_van,283.0,km,0.315,89.145
B0005,FuelStation,2024-11,bus,91.7,passenger-km,0.088,8.0696
B0005,FuelStation,2024-11,motorbike,21.4,km,0.112,2.3968
B0005,FuelStation,2024-12,bus,679.5,passenger-km,0.088,59.796
B0005,FuelStation,2024-12,motorbike,275.7,km,0.112,30.8784
B0005,FuelStation,2024-12,car_diesel,58.5,km,0.201,11.758500000000002
B0005,FuelStation,2024-12,car_petrol,275.6,km,0.225,62.010000000000005
